experiment_id,target,horizon,model,fold,seed,train_samples,validation_samples,training_seconds,prediction_seconds,negative_prediction_count,negative_prediction_percentage,complexity,hyperparameters
LOAD-H1-EXTRA_TREES-FULLV1-S123-F05,load,1,extra_trees,F05,123,5687,720,0.13500230002682656,0.04024780000327155,0,0.0,"{""estimator_count"": 50, ""max_tree_depth"": 12, ""mean_tree_depth"": 12.0}","{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 50, ""n_jobs"": -1}"
LOAD-H1-EXTRA_TREES-FULLV1-S2020-F05,load,1,extra_trees,F05,2020,5687,720,0.17537970002740622,0.041079599992372096,0,0.0,"{""estimator_count"": 50, ""max_tree_depth"": 12, ""mean_tree_depth"": 12.0}","{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 50, ""n_jobs"": -1}"
LOAD-H1-EXTRA_TREES-FULLV1-S2025-F05,load,1,extra_trees,F05,2025,5687,720,0.15447050001239404,0.04060050001135096,0,0.0,"{""estimator_count"": 50, ""max_tree_depth"": 12, ""mean_tree_depth"": 12.0}","{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 50, ""n_jobs"": -1}"
LOAD-H1-EXTRA_TREES-FULLV1-S31415-F05,load,1,extra_trees,F05,31415,5687,720,0.14358570001786575,0.04430869995849207,0,0.0,"{""estimator_count"": 50, ""max_tree_depth"": 12, ""mean_tree_depth"": 12.0}","{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 50, ""n_jobs"": -1}"
LOAD-H1-HIST_GRADIENT_BOOSTING-FULLV1-DET-F05,load,1,hist_gradient_boosting,F05,DET,5687,720,0.9078809000202455,0.011371200031135231,0,0.0,"{""iterations"": 200}","{""l2_regularization"": 0.1, ""learning_rate"": 0.08, ""max_depth"": null, ""max_iter"": 200, ""max_leaf_nodes"": 31}"
LOAD-H1-LINEAR_REGRESSION-FULLV1-DET-F06,load,1,linear_regression,F06,DET,6407,744,0.0177659000037238,0.0019316000398248434,0,0.0,"{""coefficient_count"": 12}","{""fit_intercept"": true}"
LOAD-H1-RIDGE-FULLV1-DET-F06,load,1,ridge,F06,DET,6407,744,0.042595200007781386,0.002990499953739345,0,0.0,"{""coefficient_count"": 12}","{""alpha"": 1.0, ""fit_intercept"": true, ""scaling"": ""StandardScaler inside training-fold pipeline"", ""solver"": ""auto""}"
LOAD-H1-RANDOM_FOREST-FULLV1-S42-F06,load,1,random_forest,F06,42,6407,744,0.32538320001913235,0.03797760000452399,0,0.0,"{""estimator_count"": 50, ""max_tree_depth"": 12, ""mean_tree_depth"": 12.0}","{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 50, ""n_jobs"": -1}"
LOAD-H1-RANDOM_FOREST-FULLV1-S123-F06,load,1,random_forest,F06,123,6407,744,0.33104049996472895,0.04113070003222674,0,0.0,"{""estimator_count"": 50, ""max_tree_depth"": 12, ""mean_tree_depth"": 12.0}","{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 50, ""n_jobs"": -1}"
LOAD-H1-RANDOM_FOREST-FULLV1-S2020-F06,load,1,random_forest,F06,2020,6407,744,0.3613306999905035,0.04083439998794347,0,0.0,"{""estimator_count"": 50, ""max_tree_depth"": 12, ""mean_tree_depth"": 12.0}","{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 50, ""n_jobs"": -1}"
LOAD-H1-RANDOM_FOREST-FULLV1-S2025-F06,load,1,random_forest,F06,2025,6407,744,0.3211083000060171,0.03992579999612644,0,0.0,"{""estimator_count"": 50, ""max_tree_depth"": 12, ""mean_tree_depth"": 12.0}","{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 50, ""n_jobs"": -1}"
LOAD-H1-RANDOM_FOREST-FULLV1-S31415-F06,load,1,random_forest,F06,31415,6407,744,0.32309359998907894,0.051502700021956116,0,0.0,"{""estimator_count"": 50, ""max_tree_depth"": 12, ""mean_tree_depth"": 12.0}","{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 50, ""n_jobs"": -1}"
LOAD-H1-EXTRA_TREES-FULLV1-S42-F06,load,1,extra_trees,F06,42,6407,744,0.15131360001396388,0.04143429995747283,0,0.0,"{""estimator_count"": 50, ""max_tree_depth"": 12, ""mean_tree_depth"": 12.0}","{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 50, ""n_jobs"": -1}"
LOAD-H1-EXTRA_TREES-FULLV1-S123-F06,load,1,extra_trees,F06,123,6407,744,0.1797624999890104,0.04029630002332851,0,0.0,"{""estimator_count"": 50, ""max_tree_depth"": 12, ""mean_tree_depth"": 12.0}","{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 50, ""n_jobs"": -1}"
