target,horizon,model,dimension,slice,samples,MAE
load,1,hist_gradient_boosting,hour,22,184,111.58818884798828
load,1,hist_gradient_boosting,hour,23,184,79.40296497400354
load,1,hist_gradient_boosting,output_quartile,high_output,1104,271.76713663240844
load,1,hist_gradient_boosting,target_condition,higher_demand_q4,1104,271.76713663240844
load,1,hist_gradient_boosting,month,6,720,173.78497175040553
load,1,hist_gradient_boosting,month,7,744,207.15598388420858
load,1,hist_gradient_boosting,month,8,744,102.166734219072
load,1,hist_gradient_boosting,month,9,720,75.10790729885777
load,1,hist_gradient_boosting,month,10,744,66.31694002063732
load,24,linear_regression,hour,0,184,219.69387583528342
load,24,linear_regression,month,5,744,305.5933826220273
load,24,linear_regression,output_quartile,low_output,1105,237.64314178804517
load,24,linear_regression,hour,1,184,217.7182789836056
load,24,linear_regression,hour,2,184,213.7026083732308
load,24,linear_regression,hour,3,184,206.31121303246863
load,24,linear_regression,hour,4,184,205.94183376954626
load,24,linear_regression,hour,5,184,237.5093939746925
load,24,linear_regression,hour,6,184,261.88457125396684
load,24,linear_regression,hour,7,184,271.57298969287456
load,24,linear_regression,hour,8,184,267.62566052371574
load,24,linear_regression,hour,9,184,277.35150588096366
load,24,linear_regression,output_quartile,middle_output,2207,254.07166011429996
load,24,linear_regression,hour,10,184,286.7685891833403
load,24,linear_regression,hour,11,184,301.94255275101625
load,24,linear_regression,hour,12,184,316.7531797809723
load,24,linear_regression,hour,13,184,330.09984999127374
load,24,linear_regression,hour,14,184,335.65178573017084
load,24,linear_regression,hour,15,184,331.339669115509
load,24,linear_regression,hour,16,184,308.6002956256712
load,24,linear_regression,hour,17,184,275.98426642623156
load,24,linear_regression,hour,18,184,251.20819347399748
load,24,linear_regression,hour,19,184,242.16901559799146
load,24,linear_regression,hour,20,184,229.66167142815124
load,24,linear_regression,hour,21,184,223.07822227247692
load,24,linear_regression,hour,22,184,217.41810970369048
load,24,linear_regression,hour,23,184,211.67291446301334
load,24,linear_regression,output_quartile,high_output,1104,294.5051266982783
load,24,linear_regression,target_condition,higher_demand_q4,1104,294.5051266982783
load,24,linear_regression,month,6,720,256.342660586654
load,24,linear_regression,month,7,744,209.3479344622794
load,24,linear_regression,month,8,744,269.9657045598574
load,24,linear_regression,month,9,720,337.6572142692767
load,24,linear_regression,month,10,744,183.8907949239529
load,24,ridge,hour,0,184,219.48976976365523
load,24,ridge,month,5,744,305.745320260696
load,24,ridge,output_quartile,low_output,1105,237.45725786197005
load,24,ridge,hour,1,184,217.49492615337547
load,24,ridge,hour,2,184,213.44080159984657
load,24,ridge,hour,3,184,206.0351996068987
load,24,ridge,hour,4,184,205.6414992089383
load,24,ridge,hour,5,184,237.2265951415988
load,24,ridge,hour,6,184,261.63417994358036
load,24,ridge,hour,7,184,271.37829954526546
load,24,ridge,hour,8,184,267.46743392306723
load,24,ridge,hour,9,184,277.3243811581305
load,24,ridge,output_quartile,middle_output,2207,254.11153455573788
load,24,ridge,hour,10,184,286.8079127692033
load,24,ridge,hour,11,184,301.99442668537546
load,24,ridge,hour,12,184,317.0060155442785
load,24,ridge,hour,13,184,330.4768709993109
load,24,ridge,hour,14,184,336.013733433205
load,24,ridge,hour,15,184,331.6060315978508
load,24,ridge,hour,16,184,308.88854936744866
load,24,ridge,hour,17,184,276.2490366862965
load,24,ridge,hour,18,184,251.45602258563153
load,24,ridge,hour,19,184,242.32820680201456
load,24,ridge,hour,20,184,229.71551033159417
load,24,ridge,hour,21,184,222.98140416394247
load,24,ridge,hour,22,184,217.26501929995698
load,24,ridge,hour,23,184,211.5197977394927
load,24,ridge,output_quartile,high_output,1104,294.5750290971032
load,24,ridge,target_condition,higher_demand_q4,1104,294.5750290971032
load,24,ridge,month,6,720,256.2587508199377
load,24,ridge,month,7,744,209.1908183434214
load,24,ridge,month,8,744,270.0204236979745
load,24,ridge,month,9,720,337.62743950731834
load,24,ridge,month,10,744,183.89720354410167
load,24,random_forest,hour,0,184,128.7632419474808
load,24,random_forest,month,5,744,403.0579502411669
load,24,random_forest,output_quartile,low_output,1105,127.23573831018582
load,24,random_forest,hour,1,184,120.86741852635477
load,24,random_forest,hour,2,184,121.22983735056968
load,24,random_forest,hour,3,184,121.18983107966031
load,24,random_forest,hour,4,184,129.1738468459976
load,24,random_forest,hour,5,184,148.99009047077223
load,24,random_forest,hour,6,184,158.31285285228634
load,24,random_forest,hour,7,184,184.5239994383819
load,24,random_forest,hour,8,184,225.88732506550932
load,24,random_forest,hour,9,184,299.8131772440087
load,24,random_forest,output_quartile,middle_output,2207,279.13974450884064
load,24,random_forest,hour,10,184,387.82475305404597
load,24,random_forest,hour,11,184,470.8410439416425
load,24,random_forest,hour,12,184,529.491876086827
load,24,random_forest,hour,13,184,589.8563154340816
load,24,random_forest,hour,14,184,636.4706599775224
load,24,random_forest,hour,15,184,651.7284718780815
load,24,random_forest,hour,16,184,608.0572853178762
load,24,random_forest,hour,17,184,520.0651143413667
load,24,random_forest,hour,18,184,430.0331764703813
load,24,random_forest,hour,19,184,413.19625313321313
load,24,random_forest,hour,20,184,330.56495942076964
load,24,random_forest,hour,21,184,229.79336127331567
load,24,random_forest,hour,22,184,175.10867066023823
load,24,random_forest,hour,23,184,144.77054636245063
load,24,random_forest,output_quartile,high_output,1104,607.3813849094519
load,24,random_forest,target_condition,higher_demand_q4,1104,607.3813849094519
load,24,random_forest,month,6,720,618.5723281761456
load,24,random_forest,month,7,744,304.88739994746834
load,24,random_forest,month,8,744,258.5961763534752
load,24,random_forest,month,9,720,236.46662869453496
load,24,random_forest,month,10,744,124.28899356126524
load,24,extra_trees,hour,0,184,132.96535704332695
load,24,extra_trees,month,5,744,414.5173331369569
load,24,extra_trees,output_quartile,low_output,1105,126.2183913232731
load,24,extra_trees,hour,1,184,124.19990559149731
load,24,extra_trees,hour,2,184,123.26712385806889
load,24,extra_trees,hour,3,184,118.4070657821387
load,24,extra_trees,hour,4,184,119.27367252425812
load,24,extra_trees,hour,5,184,129.94285630204706
load,24,extra_trees,hour,6,184,153.59493775925066
load,24,extra_trees,hour,7,184,180.34444990713342
load,24,extra_trees,hour,8,184,219.6009644701994
load,24,extra_trees,hour,9,184,279.25298772231594
load,24,extra_trees,output_quartile,middle_output,2207,269.6605563669612
load,24,extra_trees,hour,10,184,359.6977505847386
load,24,extra_trees,hour,11,184,443.49810109535736
load,24,extra_trees,hour,12,184,519.6170353252228
load,24,extra_trees,hour,13,184,593.5450992393519
load,24,extra_trees,hour,14,184,641.5750752278472
load,24,extra_trees,hour,15,184,658.6350224645191
load,24,extra_trees,hour,16,184,619.8081739764777
load,24,extra_trees,hour,17,184,516.8288702389211
load,24,extra_trees,hour,18,184,425.6735388412241
load,24,extra_trees,hour,19,184,401.40256712299663
load,24,extra_trees,hour,20,184,319.75471271246596
load,24,extra_trees,hour,21,184,227.2412377727833
load,24,extra_trees,hour,22,184,167.59813835910455
load,24,extra_trees,hour,23,184,146.95923580311452
load,24,extra_trees,output_quartile,high_output,1104,605.0377387275201
load,24,extra_trees,target_condition,higher_demand_q4,1104,605.0377387275201
load,24,extra_trees,month,6,720,570.3847772884073
load,24,extra_trees,month,7,744,298.87175020079223
load,24,extra_trees,month,8,744,259.8265940214371
load,24,extra_trees,month,9,720,243.56359013618393
load,24,extra_trees,month,10,744,124.27223839830948
load,24,hist_gradient_boosting,hour,0,184,169.01900072226087
load,24,hist_gradient_boosting,month,5,744,418.03323898984195
load,24,hist_gradient_boosting,output_quartile,low_output,1105,155.63915805902565
load,24,hist_gradient_boosting,hour,1,184,158.6917304066168
load,24,hist_gradient_boosting,hour,2,184,153.02539440045732
load,24,hist_gradient_boosting,hour,3,184,152.33793443323773
load,24,hist_gradient_boosting,hour,4,184,144.25915968886827
load,24,hist_gradient_boosting,hour,5,184,161.39080392841484
load,24,hist_gradient_boosting,hour,6,184,193.34880169439475
load,24,hist_gradient_boosting,hour,7,184,205.00752644523416
load,24,hist_gradient_boosting,hour,8,184,250.12220194357866
