run_id,evidence_status,target,model,framework,implementation_id,feature_set,feature_count,fold,seed,training_seconds,prediction_seconds,epochs,MAE,RMSE,sMAPE,nMAE,nRMSE
P10-wind-hist_gradient_boosting-D_calendar_lags_rolling-F02-S42,VALID,wind,hist_gradient_boosting,sklearn,SKLEARN_HIST_GRADIENT_BOOSTING_REGRESSOR,D_calendar_lags_rolling,11,F02,42,0.6073335999999472,0.007937300000776304,N/A,1138.4076470694365,1270.732684126649,126.27892334954589,2.2443565985485585,2.505233772763836
P10-wind-hist_gradient_boosting-E_full-F02-S42,VALID,wind,hist_gradient_boosting,sklearn,SKLEARN_HIST_GRADIENT_BOOSTING_REGRESSOR,E_full,12,F02,42,0.6852583999998387,0.006481200000052922,N/A,1121.507563300809,1250.326611068311,125.99139308892474,2.2110382923866276,2.465003452072612
P10-wind-mlp-A_calendar_only-F02-S42,VALID,wind,mlp,pytorch,PYTORCH_MLP_V1,A_calendar_only,6,F02,42,0.11667349999970611,0.0,12,624.66187,685.9027810120032,114.87482,1.2315131,1.3522488508312005
P10-wind-mlp-A_calendar_only-F02-S123,VALID,wind,mlp,pytorch,PYTORCH_MLP_V1,A_calendar_only,6,F02,123,0.11421010000049137,0.0,12,661.5291,713.966407648147,115.705284,1.3041965,1.407575943707089
P10-wind-mlp-A_calendar_only-F02-S2020,VALID,wind,mlp,pytorch,PYTORCH_MLP_V1,A_calendar_only,6,F02,2020,0.10788880000018253,0.0,12,637.57477,700.4370287541915,115.033905,1.2569708,1.380902940523142
P10-wind-mlp-A_calendar_only-F02-S2025,VALID,wind,mlp,pytorch,PYTORCH_MLP_V1,A_calendar_only,6,F02,2025,0.10837179999998625,0.0,12,716.7537,773.2949792931544,117.39993,1.4130712,1.5245414890428992
P10-wind-mlp-A_calendar_only-F02-S31415,VALID,wind,mlp,pytorch,PYTORCH_MLP_V1,A_calendar_only,6,F02,31415,0.09990300000026764,0.0,12,631.374,683.3192198745767,115.269745,1.2447461,1.3471553919973078
P10-wind-mlp-C_calendar_lags-F02-S42,VALID,wind,mlp,pytorch,PYTORCH_MLP_V1,C_calendar_lags,9,F02,42,0.09854720000021189,0.0,12,619.15436,668.7474532661788,114.67245,1.2206552,1.3184273343245956
P10-wind-mlp-C_calendar_lags-F02-S123,VALID,wind,mlp,pytorch,PYTORCH_MLP_V1,C_calendar_lags,9,F02,123,0.1145528999995804,0.0,12,573.61786,632.9531479501464,112.69346,1.1308806,1.2478593040295576
P10-wind-mlp-C_calendar_lags-F02-S2020,VALID,wind,mlp,pytorch,PYTORCH_MLP_V1,C_calendar_lags,9,F02,2020,0.1083611000003657,0.0,12,582.82745,640.3129849924957,112.45717,1.1490371,1.2623691317461585
